Country,2005
Brazil,186142
China,1303720
Colombia,43184
Ethiopia,76167
France,63176
Germany,82469
India,1127143
Indonesia,224480
Japan,127773
Mexico,110731
Nigeria,139585
Russia,143113
South Africa,47639
United Kingdom,60401
United States,295516
