Country,2005
Brazil,8.82E+05
China,2.26E+06
Colombia,1.47E+05
Ethiopia,12173
France,2.14E+06
Germany,2.77E+06
India,8.34E+05
Indonesia,2.86E+05
Japan,4.57E+06
Mexico,8.66E+05
Nigeria,1.12E+05
Russia,7.64E+05
South Africa,2.47E+05
United Kingdom,2.32E+06
United States,1.31E+07
